zone_name,zone_id,capacity,type
Zone_763,763,-1,0
Zone_764,764,-1,0
Zone_765,765,-1,0
Zone_766,766,-1,0
Zone_767,767,-1,0
Zone_768,768,-1,0
Zone_769,769,-1,0
Zone_770,770,-1,0
Zone_771,771,-1,0
Zone_772,772,-1,0
Zone_773,773,-1,0
Zone_774,774,-1,0
Zone_775,775,-1,0
Zone_776,776,-1,0
Zone_777,777,-1,0
Zone_778,778,-1,0
Zone_779,779,-1,0
Zone_780,780,-1,0
Zone_781,781,-1,0
Zone_782,782,-1,0
Zone_783,783,-1,0
Zone_784,784,-1,0
Zone_785,785,-1,0
Zone_786,786,-1,0
Zone_787,787,-1,0
Zone_788,788,-1,0
Zone_789,789,-1,0
Zone_790,790,-1,0
Zone_791,791,-1,0
Zone_792,792,-1,0
Zone_793,793,-1,0
Zone_794,794,-1,0
Zone_795,795,-1,0
Zone_796,796,-1,0
Zone_797,797,-1,0
Zone_798,798,-1,0
Zone_799,799,-1,0
Zone_800,800,-1,0
Zone_801,801,-1,0
Zone_802,802,-1,0
Zone_803,803,-1,0
Zone_804,804,-1,0
Zone_805,805,-1,0
Zone_806,806,-1,0
Zone_807,807,-1,0
Zone_808,808,-1,0
Zone_809,809,-1,0
Zone_810,810,-1,0
Zone_811,811,-1,0
Zone_812,812,-1,0
Zone_813,813,-1,0
Zone_814,814,-1,0
Zone_815,815,-1,0
Zone_816,816,-1,0
Zone_817,817,-1,0
Zone_818,818,-1,0
Zone_819,819,-1,0
Zone_820,820,-1,0
Zone_821,821,-1,0
Zone_822,822,-1,0
Zone_823,823,-1,0
Zone_824,824,-1,0
Zone_825,825,-1,0
Zone_826,826,-1,0
Zone_827,827,-1,0
Zone_828,828,-1,0
Zone_829,829,-1,0
Zone_830,830,-1,0
Zone_831,831,-1,0
Zone_832,832,-1,0
Zone_833,833,-1,0
Zone_834,834,-1,0
Zone_835,835,-1,0
Zone_836,836,-1,0
Zone_837,837,-1,0
Zone_838,838,-1,1
Zone_839,839,-1,1
Zone_840,840,-1,0
Zone_841,841,-1,0
Zone_842,842,-1,0
Zone_843,843,-1,0
Zone_844,844,-1,0
Zone_845,845,-1,0
Zone_846,846,-1,0
Zone_847,847,-1,0
Zone_848,848,-1,0
Zone_849,849,-1,0
Zone_850,850,-1,0
Zone_851,851,-1,0
Zone_852,852,-1,0
Zone_853,853,-1,0
Zone_854,854,-1,0
Zone_855,855,-1,0
Zone_856,856,-1,0
Zone_857,857,-1,0
Zone_858,858,-1,0
Zone_859,859,-1,0
Zone_860,860,-1,0
Zone_861,861,-1,0
Zone_862,862,-1,0
Zone_863,863,-1,0
Zone_864,864,-1,0
Zone_865,865,-1,0
Zone_866,866,-1,0
Zone_867,867,-1,1
Zone_868,868,-1,1
Zone_869,869,-1,0
Zone_870,870,-1,0
Zone_871,871,-1,0
Zone_872,872,-1,0
Zone_873,873,-1,0
Zone_874,874,-1,0
Zone_875,875,-1,0
Zone_876,876,-1,0
Zone_877,877,-1,0
Zone_878,878,-1,0
Zone_879,879,-1,0
Zone_880,880,-1,0
Zone_881,881,-1,0
Zone_882,882,-1,0
Zone_883,883,-1,0
Zone_884,884,-1,0
Zone_885,885,-1,0
Zone_886,886,-1,0
Zone_887,887,-1,0
Zone_888,888,-1,0
Zone_889,889,-1,0
Zone_890,890,-1,0
Zone_891,891,-1,0
Zone_892,892,-1,0
Zone_893,893,-1,0
Zone_894,894,-1,1
Zone_895,895,-1,1
Zone_896,896,-1,0
Zone_897,897,-1,0
Zone_898,898,-1,0
Zone_899,899,-1,0
Zone_900,900,-1,0
Zone_901,901,-1,0
Zone_902,902,-1,0
Zone_903,903,-1,0
Zone_904,904,-1,0
Zone_905,905,-1,0
Zone_906,906,-1,0
Zone_907,907,-1,0
Zone_908,908,-1,0
Zone_909,909,-1,0
Zone_910,910,-1,0
Zone_911,911,-1,0
Zone_912,912,-1,0
Zone_913,913,-1,0
Zone_914,914,-1,0
Zone_915,915,-1,0
Zone_916,916,-1,0
Zone_917,917,-1,0
Zone_918,918,-1,0
Zone_919,919,-1,0
Zone_920,920,-1,0
Zone_921,921,-1,0
Zone_922,922,-1,0
Zone_923,923,-1,0
Zone_924,924,-1,0
Zone_925,925,-1,0
Zone_926,926,-1,1
Zone_927,927,-1,1
Zone_928,928,-1,0
Zone_929,929,-1,0
Zone_930,930,-1,0
Zone_931,931,-1,0
Zone_932,932,-1,0
Zone_933,933,-1,0
Zone_934,934,-1,0
Zone_935,935,-1,0
Zone_936,936,-1,0
Zone_937,937,-1,0
Zone_938,938,-1,0
Zone_939,939,-1,0
Zone_940,940,-1,0
Zone_941,941,-1,0
Zone_942,942,-1,0
Zone_943,943,-1,0
Zone_944,944,-1,0
Zone_945,945,-1,0
Zone_946,946,-1,0
Zone_947,947,-1,0
Zone_948,948,-1,0
Zone_949,949,-1,0
Zone_950,950,-1,0
Zone_951,951,-1,0
Zone_952,952,-1,0
Zone_953,953,-1,0
Zone_954,954,-1,0
Zone_955,955,-1,0
Zone_956,956,-1,0
Zone_957,957,-1,1
Zone_958,958,-1,1
Zone_959,959,-1,0
Zone_960,960,-1,0
Zone_961,961,-1,0
Zone_962,962,-1,0
Zone_963,963,-1,0
Zone_964,964,-1,0
Zone_965,965,-1,0
Zone_966,966,-1,0
Zone_967,967,-1,0
Zone_968,968,-1,0
Zone_969,969,-1,0
Zone_970,970,-1,0
Zone_971,971,-1,0
Zone_972,972,-1,0
Zone_973,973,-1,0
Zone_974,974,-1,0
Zone_975,975,-1,0
Zone_976,976,-1,0
Zone_977,977,-1,0
Zone_978,978,-1,0
Zone_979,979,-1,0
Zone_980,980,-1,0
Zone_981,981,-1,0
Zone_982,982,-1,0
Zone_983,983,-1,0
Zone_984,984,-1,0
Zone_985,985,-1,0
Zone_986,986,-1,0
Zone_987,987,-1,0
